demarcation_code,financial_year,opinion_code,opinion_label,report_url
FS164,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS164%20Naledi/FS164%20Naledi%20Audit%20report%202011-12.pdf
FS163,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS163%20Mohokare/FS163%20Mohokare%20Audit%20report%202011-12.pdf
FS162,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS162%20Kopanong/FS162%20Kopanong%20Audit%20report%202011-12.pdf
FS161,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS161%20Letsemeng/FS161%20Letsemeng%20Audit%20Report%202011-12.pdf
EC444,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC444%20Ntabankulu/EC444%20Ntabankulu%20Audit%20report%202011-12.pdf
EC443,2012,adverse,Adverse opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC443%20Mbizana/EC443%20Mbizana%20Audit%20Report%20%202011-12.pdf
EC442,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC442%20Umzimvubu/EC442%20Umzimvubu%20Audit%20Report%202011-12.pdf
EC441,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC441%20Matatiele/EC441%20Matatiele%20Audit%20Report%202011-12.pdf
EC157,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC157%20King%20Sabata%20Dalindyebo/EC157%20King%20Sabata%20Dalindyeno%20Audit%20report%202011-12.pdf
EC156,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC156%20Mhlontlo/EC156%20Mhlontlo%20Audit%20report%202011-12.pdf
EC155,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC155%20Nyandeni/EC155%20Nyandeni%20Audit%20Report%202011-12.pdf
EC153,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC153%20Ngquza%20Hills/EC153%20Ingquza%20Hill%20Audit%20report%202011-12.pdf
EC144,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC144%20Gariep/EC144%20Gariep%20Audit%20Report%202011-12.pdf
EC143,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC143%20Maletswai/EC143%20Maletswai%20Audit%20Report%202011-12.pdf
EC142,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC142%20Senqu/EC142%20Senqu%20Audit%20Report%202011-12.pdf
EC141,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC141%20Elundini/EC141%20Elundini%20Audit%20Report%202011-12.pdf
EC138,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC138%20Sakhisizwe/EC138%20Sakhisizwe%20Audit%20Report%202011-12.pdf
EC137,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC137%20Engcobo/EC137%20Engcobo%20Audit%20Report%20%202011-12.pdf
EC136,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC136%20Emalehleni/EC136%20Emalahleni%20Audit%20Report%202011-12.pdf
EC135,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC135%20Intsika%20Yethu/EC135%20Intsika%20Yethu%20Audit%20report%202011-12.pdf
EC134,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC134%20Lukhanji/EC134%20Lukhanji%20Audit%20Report%202011-12.pdf
EC133,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC133%20Inkwanca/EC133%20Inkwanca%20Audit%20Report%202011-12.pdf
EC132,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC132%20Tsolwana/EC132%20Tsolwana%20Audit%20Report%202011-12.pdf
DC33,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/03.%20District%20municipalities/DC33%20Mopani/DC33%20Mopani%20Audit%20Report%202011-12.pdf
